MOF,PLD,Dimen
qmof-3ca2407.res,2.48428,1
qmof-3caf24b.res,1.06582,nan
qmof-3cb39d1.res,8.53559,1
qmof-3cc0d7f.res,11.05043,3
qmof-3cd008c.res,7.8829,3
qmof-3cdafab.res,12.26372,3
qmof-3ce4a78.res,4.82718,3
qmof-3cf9abb.res,0.85217,nan
qmof-3cfd336.res,1.03907,nan
qmof-3cfd9d8.res,2.13506,nan
qmof-3d12eb1.res,1.00462,nan
qmof-3d25ec5.res,2.84275,3
qmof-3d2f7b4.res,6.45027,3
qmof-3d37893.res,10.17119,1
qmof-3d403e9.res,7.52379,3
qmof-3d42878.res,3.55452,1
qmof-3d43b5a.res,0.92748,nan
qmof-3d4ee1f.res,0.94634,nan
qmof-3d621ad.res,1.02432,nan
qmof-3d670d8.res,9.34999,3
qmof-3d69dee.res,11.04368,2
qmof-3d7169c.res,6.88776,1
qmof-3d7f145.res,4.63135,3
qmof-3d8172e.res,0.77842,nan
qmof-3d85027.res,13.26831,3
qmof-3d85a5e.res,3.41896,1
qmof-3d9a749.res,14.17511,3
qmof-3da84ce.res,9.70575,3
qmof-3daccc9.res,4.73465,3
qmof-3dafa19.res,5.04009,3
qmof-3db7ad0.res,1.09167,nan
qmof-3dbdebd.res,1.08442,nan
qmof-3de1c82.res,2.79866,1
qmof-3de33e8.res,4.25339,1
qmof-3de6142.res,1.3897,nan
qmof-3de7905.res,1.14508,nan
qmof-3df48c9.res,3.41689,2
qmof-3df82ff.res,0.95997,nan
qmof-3dfbcbd.res,3.54255,1
qmof-3e0685e.res,7.29491,2
qmof-3e0f6ce.res,1.65704,nan
qmof-3e11821.res,8.22345,3
qmof-3e12f05.res,1.15929,nan
qmof-3e18738.res,2.93271,1
qmof-3e2b99e.res,5.13813,3
qmof-3e2d080.res,0.89969,nan
qmof-3e43357.res,2.30988,nan
qmof-3e52596.res,9.01282,3
qmof-3e6426e.res,22.21054,1
qmof-3e6e565.res,2.4854,1
qmof-3e6ec79.res,1.51059,nan
qmof-3e6f207.res,1.37771,nan
qmof-3e88a85.res,2.55365,1
qmof-3e925fc.res,3.47431,3
qmof-3ea18fa.res,3.682,1
qmof-3ea6cae.res,4.08534,3
qmof-3eac45e.res,10.09402,3
qmof-3eafdbb.res,1.25332,nan
qmof-3eb70fd.res,9.2314,2
qmof-3ec17f9.res,10.62102,3
qmof-3eca592.res,5.98286,2
qmof-3ecaab7.res,9.41216,2
qmof-3ed2303.res,6.98533,1
qmof-3ed9eea.res,14.9117,3
qmof-3ede64b.res,7.39124,3
qmof-3eee18d.res,8.37492,1
qmof-3ef068e.res,10.30857,3
qmof-3ef5c56.res,1.38932,nan
qmof-3f0a2ed.res,1.04833,nan
qmof-3f10a21.res,1.03891,nan
qmof-3f1f67b.res,1.04213,nan
qmof-3f25aa2.res,0.76264,nan
qmof-3f2647a.res,4.22222,3
qmof-3f264ce.res,2.36421,nan
qmof-3f26b0e.res,7.2309,3
qmof-3f348f5.res,3.42762,3
qmof-3f46332.res,3.17012,3
qmof-3f4c77b.res,4.00301,3
qmof-3f60c96.res,7.23971,3
qmof-3f653e6.res,6.82838,3
qmof-3f6d858.res,3.18078,3
qmof-3f6db6f.res,1.4325,nan
qmof-3f72143.res,1.59897,nan
qmof-3f84407.res,1.3275,nan
qmof-3f97eed.res,2.88602,1
qmof-3f99902.res,0.92861,nan
qmof-3f9e962.res,2.32395,nan
qmof-3fa29a2.res,1.09958,nan
qmof-3fa90d2.res,8.10224,3
qmof-3faf53c.res,0.80391,nan
qmof-3fb24cf.res,9.69133,3
qmof-3fbb501.res,1.28482,nan
qmof-3fbd724.res,1.21752,nan
qmof-3fbde32.res,1.32216,nan
qmof-3fc1e9c.res,0.82093,nan
qmof-3fcd371.res,4.63492,3
qmof-3fcf6ee.res,8.83519,1
qmof-3fe24b2.res,8.34699,3
qmof-3fe445a.res,6.14315,2
qmof-3ff7d04.res,7.62847,2
qmof-3ff9206.res,3.82814,1
qmof-400a4d4.res,1.12598,nan
qmof-401a2c2.res,1.21787,nan
qmof-4021069.res,3.73527,1
qmof-4024cca.res,2.38094,nan
qmof-4028dc6.res,9.46491,1
qmof-402926d.res,1.90509,nan
qmof-402c9c0.res,2.4968,1
qmof-4048940.res,10.89484,3
qmof-404ee41.res,0.91941,nan
qmof-4060ec8.res,4.58877,1
qmof-406165e.res,6.87404,1
qmof-4063c99.res,1.14847,nan
qmof-4070708.res,1.05637,nan
qmof-40713e8.res,5.27902,3
qmof-40816e5.res,3.07223,1
qmof-40899bb.res,1.26554,nan
qmof-408a8f3.res,0.98765,nan
qmof-409a8b7.res,8.19812,3
qmof-40b01a1.res,3.39849,3
qmof-40b4826.res,4.00947,3
qmof-40b4fc7.res,5.50662,3
qmof-40c4e6c.res,8.73662,3
qmof-40cbe6f.res,1.1717,nan
qmof-40d569a.res,4.02664,3
qmof-40d903d.res,8.33324,3
qmof-40dcc0d.res,0.94885,nan
qmof-40df442.res,6.47587,3
qmof-40df476.res,1.44887,nan
qmof-40eaaed.res,7.53565,3
qmof-40edf6a.res,4.88444,3
qmof-40eecfd.res,5.62977,1
qmof-40f78ce.res,10.1561,3
qmof-40fadd9.res,9.67011,3
qmof-40ff1c5.res,1.69459,nan
qmof-41074b5.res,12.09455,1
qmof-4107527.res,3.04514,3
qmof-41141ee.res,6.3848,3
qmof-411ae6c.res,0.92846,nan
qmof-411f796.res,1.1329,nan
qmof-4125488.res,1.18431,nan
qmof-412a896.res,5.74272,3
qmof-412f4b0.res,0.93753,nan
qmof-413599e.res,6.56628,3
qmof-4138536.res,8.4764,1
qmof-413fe22.res,3.64698,1
qmof-4141366.res,1.26648,nan
qmof-4148b62.res,1.91792,nan
qmof-41551cc.res,2.75229,3
qmof-4156823.res,1.59876,nan
qmof-4164cfa.res,2.3293,nan
qmof-417545d.res,10.22667,3
qmof-4178b92.res,1.11933,nan
qmof-417c826.res,7.22416,1
qmof-4187032.res,2.90114,1
qmof-418ac25.res,8.26582,3
qmof-418ae62.res,1.91025,nan
qmof-41984f8.res,1.92798,nan
qmof-419f734.res,8.08412,3
qmof-41a421b.res,2.2252,nan
qmof-41a9f24.res,3.65545,1
qmof-41aa483.res,0.981,nan
qmof-41ae7d7.res,4.93844,3
qmof-41af215.res,3.31364,3
qmof-41b92d0.res,8.97311,3
qmof-41c0d63.res,1.1705,nan
qmof-41c609e.res,7.03805,3
qmof-41c8b63.res,2.74049,1
qmof-41cd4ee.res,3.80815,1
qmof-41d1d42.res,2.90263,1
qmof-41e2d68.res,1.31988,nan
qmof-41e59b9.res,0.87522,nan
qmof-41eae12.res,1.35661,nan
qmof-41f5a4b.res,4.16495,1
qmof-4203cdb.res,14.21582,3
qmof-4213381.res,9.31738,3
qmof-4219847.res,1.1416,nan
qmof-421c2b7.res,1.0249,nan
qmof-422136e.res,0.96143,nan
qmof-4232690.res,1.10642,nan
qmof-424ce8c.res,9.90558,2
qmof-4256080.res,6.92331,2
qmof-425fd89.res,4.28892,1
qmof-4268462.res,9.72025,3
qmof-4288fb3.res,1.44592,nan
qmof-42a8827.res,7.77846,3
qmof-42ad75b.res,12.68942,3
qmof-42b6a5d.res,22.15501,1
qmof-42cd6b1.res,7.87648,3
qmof-42d5f8c.res,10.91122,1
qmof-42d64f0.res,0.86522,nan
qmof-42e7848.res,7.93505,3
qmof-42e91b2.res,0.97261,nan
qmof-42f7d2d.res,1.38222,nan
qmof-43001f3.res,7.45388,3
qmof-4300cc0.res,10.54736,1
qmof-430b4c6.res,1.25374,nan
qmof-4315d6e.res,6.35435,1
qmof-431b93f.res,11.14271,3
qmof-431f8cc.res,9.45222,3
qmof-43264a9.res,1.07704,nan
qmof-4333405.res,4.21535,1
qmof-434aece.res,1.72679,nan
qmof-43553c8.res,13.87024,3
qmof-4363f56.res,3.28124,3
qmof-4366366.res,9.58014,3
qmof-4369f46.res,1.472,nan
qmof-437d9f5.res,1.7975,nan
qmof-437fb3b.res,1.85206,nan
qmof-4383a46.res,0.82583,nan
qmof-43894b8.res,5.56289,1
qmof-43aa38c.res,1.15474,nan
qmof-43ba689.res,1.29393,nan
qmof-43db536.res,1.6314,nan
qmof-43dc9b0.res,4.29566,3
qmof-43dde62.res,1.86943,nan
qmof-43df29f.res,1.13466,nan
qmof-43ea48b.res,7.90001,3
qmof-43f07bb.res,0.89722,nan
qmof-43f35d6.res,12.52125,3
qmof-43f8428.res,1.11075,nan
qmof-4405a01.res,2.25268,nan
qmof-4409f74.res,10.25954,3
qmof-440adea.res,1.76157,nan
qmof-4410553.res,4.77616,1
qmof-44308c2.res,9.1231,3
qmof-44364c4.res,3.22924,1
qmof-44399ca.res,9.96616,3
qmof-44435b0.res,0.80579,nan
qmof-44487d9.res,2.53196,1
qmof-444a042.res,5.96121,3
qmof-444b94b.res,3.35577,3
qmof-4453ec1.res,1.20581,nan
qmof-445834a.res,3.94165,3
qmof-445a47d.res,3.41284,3
qmof-446f371.res,2.5849,2
qmof-447061d.res,3.91762,1
qmof-4481da3.res,2.63328,2
qmof-4482e16.res,4.20083,1
qmof-4491693.res,1.26546,nan
qmof-449a0d1.res,21.06325,1
qmof-449f257.res,6.82931,2
qmof-44aa83b.res,2.32356,nan
qmof-44ab466.res,9.46664,3
qmof-44afbcd.res,1.99101,nan
qmof-44bb29e.res,6.26428,2
qmof-44bd001.res,1.40739,nan
qmof-44c00af.res,1.15828,nan
qmof-44c1049.res,2.95388,1
qmof-44c814a.res,1.00544,nan
qmof-44ccf24.res,4.23811,2
qmof-44d0651.res,5.88978,1
qmof-44da106.res,1.82947,nan
qmof-44da7b6.res,1.01398,nan
qmof-44dcbfb.res,3.20353,1
qmof-44ebd89.res,12.97392,3
qmof-44f7b77.res,15.06611,3
qmof-44f9ad0.res,6.76413,3
qmof-44fa197.res,4.53471,3
qmof-4508cc7.res,6.51122,1
qmof-4508efb.res,1.12392,nan
qmof-450a9da.res,1.22358,nan
qmof-450aa23.res,1.0134,nan
qmof-450ce99.res,8.35791,3
qmof-450cfae.res,1.20419,nan
qmof-450de13.res,7.2717,3
qmof-4512619.res,2.50525,1
qmof-4513e39.res,7.4555,3
qmof-4514cfa.res,7.99944,3
qmof-452ad60.res,8.73713,3
qmof-4543fa9.res,11.55106,3
qmof-45499da.res,9.92301,3
qmof-4549ea7.res,3.02318,1
qmof-455827c.res,1.18361,nan
qmof-455e906.res,6.45605,1
qmof-4563ec4.res,3.08979,1
qmof-4566a23.res,12.0466,3
qmof-45689c4.res,0.70784,nan
qmof-456d4d5.res,3.45885,1
qmof-4577c03.res,1.30671,nan
qmof-45780fc.res,7.96963,3
qmof-457d039.res,1.62687,nan
qmof-4581200.res,7.347,1
qmof-45846c3.res,1.09878,nan
qmof-45a5d71.res,1.02892,nan
qmof-45ac375.res,11.51028,3
qmof-45d3e8b.res,1.10042,nan
qmof-45da722.res,7.21159,3
qmof-45de5a4.res,0.76362,nan
qmof-45ec415.res,8.00047,3
qmof-45f099f.res,1.50493,nan
qmof-4601464.res,8.54996,1
qmof-4607b04.res,3.95379,1
qmof-460d167.res,3.16012,1
qmof-4615dbd.res,8.76528,3
qmof-461be91.res,1.90703,nan
qmof-4624c90.res,3.12656,3
qmof-4628b51.res,3.40195,3
qmof-46322fa.res,1.66529,nan
qmof-46324de.res,1.43889,nan
qmof-4648c4d.res,1.49491,nan
qmof-465ca4f.res,6.57206,1
qmof-466d3a2.res,1.07602,nan
qmof-467f2a8.res,14.83053,3
qmof-46868df.res,7.24283,3
qmof-4687641.res,9.40443,1
qmof-469075b.res,1.00906,nan
qmof-4695aa0.res,6.09374,1
qmof-469b6f3.res,4.02968,1
qmof-469ff8c.res,1.09438,nan
qmof-46a169e.res,7.35016,2
qmof-46a34bc.res,1.0699,nan
qmof-46a3716.res,0.75723,nan
qmof-46ac557.res,5.78477,2
qmof-46b122f.res,8.54131,3
qmof-46b588a.res,2.57792,1
qmof-46c0e50.res,7.74459,3
qmof-46c15b7.res,2.3443,nan
qmof-46c4388.res,0.90542,nan
qmof-46c80ba.res,6.44707,3
qmof-46cb25f.res,9.83152,3
qmof-46d3985.res,7.66114,1
qmof-46e0444.res,2.89501,1
qmof-46f2ccb.res,14.52025,3
qmof-46fd06d.res,2.75531,1
qmof-470a8bb.res,0.99267,nan
qmof-4721a8e.res,1.08316,nan
qmof-4726e1b.res,0.85428,nan
qmof-472da64.res,3.47956,3
qmof-473d2b6.res,1.3616,nan
qmof-47472ea.res,4.9224,3
qmof-475ad16.res,1.41227,nan
qmof-477477e.res,3.46041,3
qmof-4774c35.res,1.00463,nan
qmof-4779340.res,1.24543,nan
qmof-477bf52.res,14.59222,3
qmof-4799208.res,0.64689,nan
qmof-47bb195.res,4.04633,1
qmof-47bbdd7.res,8.24531,1
qmof-47be35c.res,6.59899,3
qmof-47c6882.res,0.85203,nan
qmof-47c6a17.res,4.5647,1
qmof-47c8976.res,0.66585,nan
qmof-47e07dd.res,1.67432,nan
qmof-47e3d9b.res,6.17703,3
qmof-47e87b6.res,1.0256,nan
qmof-47ef021.res,1.82164,nan
qmof-47efcfb.res,6.95291,3
qmof-480a539.res,6.24902,1
qmof-480bd21.res,0.76577,nan
qmof-4836169.res,4.05123,1
qmof-483810b.res,2.75472,1
qmof-4847c95.res,2.92589,1
qmof-48537be.res,8.75591,1
qmof-485839c.res,1.43747,nan
qmof-489edf7.res,3.41609,1
qmof-48a177e.res,15.34149,3
qmof-48a8af6.res,14.29258,3
qmof-48a9b54.res,10.66218,3
qmof-48b2ade.res,4.41471,2
qmof-48b6c68.res,4.94803,3
qmof-48c47a7.res,3.40679,1
qmof-48c7a7e.res,4.14549,3
qmof-48c7af3.res,3.90818,2
qmof-48d242f.res,2.73643,2
qmof-48d7079.res,10.24562,3
qmof-48e9003.res,5.23352,2
qmof-48eac80.res,5.6698,3
qmof-48f26c5.res,3.03385,1
qmof-4912f4f.res,4.98502,1
qmof-492bc03.res,11.47371,3
qmof-492d2a5.res,1.15711,nan
qmof-493416b.res,3.99659,3
qmof-493832f.res,0.89848,nan
qmof-4949753.res,10.51974,3
qmof-494ec46.res,0.9004,nan
qmof-495436a.res,5.17042,1
qmof-4956d5d.res,1.585,nan
qmof-49593d6.res,8.6589,3
qmof-4962cd2.res,5.37854,3
qmof-4972f5c.res,5.18399,3
qmof-497807e.res,7.54425,1
qmof-49849ba.res,2.94769,1
qmof-4994fff.res,2.98968,1
qmof-4995cf5.res,2.6714,2
qmof-49bc51b.res,0.93973,nan
qmof-49bf8ce.res,3.8584,3
qmof-49c3c03.res,1.00676,nan
qmof-49cfe51.res,2.72703,1
qmof-49d94c9.res,6.13931,1
qmof-49df74b.res,4.72364,2
qmof-49e03d8.res,4.76615,2
qmof-49ea619.res,7.36312,1
qmof-49f7b74.res,2.88912,1
qmof-4a00ee0.res,1.12538,nan
qmof-4a015d8.res,9.72756,3
qmof-4a03983.res,2.59374,1
qmof-4a07d68.res,1.80106,nan
qmof-4a0f1fc.res,1.75992,nan
qmof-4a15926.res,1.41549,nan
qmof-4a16101.res,1.34766,nan
qmof-4a1e114.res,5.59676,3
qmof-4a1e9e7.res,2.38909,nan
qmof-4a2dcce.res,1.21099,nan
qmof-4a30927.res,8.5333,3
qmof-4a41a68.res,19.48538,3
qmof-4a4833a.res,0.86695,nan
qmof-4a4c3dc.res,0.96174,nan
qmof-4a51a86.res,0.62538,nan
qmof-4a57b79.res,10.62387,3
qmof-4a59b22.res,1.69533,nan
qmof-4a746e9.res,0.34539,nan
qmof-4a7a5ba.res,10.32038,3
qmof-4a7d9c5.res,0.7731,nan
qmof-4a7f527.res,10.71953,3
qmof-4a83905.res,12.04552,3
qmof-4a90c3e.res,5.14143,3
qmof-4a920a2.res,0.83223,nan
qmof-4a944d6.res,1.20921,nan
qmof-4a96ec6.res,6.57688,3
qmof-4aab35a.res,25.37076,3
qmof-4aae0f6.res,0.68076,nan
qmof-4aba306.res,6.20711,3
qmof-4abf5ee.res,0.81466,nan
qmof-4ad733e.res,9.60246,3
qmof-4ae51cc.res,7.7486,3
qmof-4ae6ad4.res,8.59289,3
qmof-4ae806b.res,7.03483,3
qmof-4ae86d8.res,1.01395,nan
qmof-4af0f7c.res,0.96568,nan
qmof-4af615b.res,3.24107,1
qmof-4af6c02.res,1.14011,nan
qmof-4afff6e.res,4.01247,3
qmof-4b067b3.res,6.76232,1
qmof-4b14a04.res,1.22817,nan
qmof-4b1daf6.res,2.05112,nan
qmof-4b1ef88.res,5.88322,1
qmof-4b2d1bb.res,4.65881,3
qmof-4b35a9e.res,4.79763,3
qmof-4b38c0b.res,1.49998,nan
qmof-4b4837b.res,13.4495,2
qmof-4b5176a.res,10.99066,3
qmof-4b57e43.res,7.50462,3
qmof-4b62488.res,1.23304,nan
qmof-4b6fa6b.res,1.31761,nan
qmof-4b70fb1.res,6.57323,3
qmof-4b764bf.res,2.77224,1
qmof-4b810e7.res,1.04565,nan
qmof-4b8b3f9.res,0.91459,nan
qmof-4b9332b.res,8.4327,3
qmof-4b93797.res,6.38038,3
qmof-4ba8a8c.res,6.2177,3
qmof-4bae7c0.res,0.76213,nan
qmof-4bbc418.res,1.35564,nan
qmof-4bbe9a9.res,7.89004,3
qmof-4bdce90.res,4.84391,3
qmof-4c021c6.res,7.7695,2
qmof-4c046ed.res,10.36449,3
qmof-4c0e76e.res,0.9387,nan
qmof-4c15177.res,1.83367,nan
qmof-4c23f2e.res,1.07188,nan
qmof-4c3897e.res,0.92167,nan
qmof-4c3f2da.res,7.72948,3
qmof-4c5a21f.res,1.10078,nan
qmof-4c5e636.res,3.19998,1
qmof-4c6642d.res,1.77218,nan
qmof-4c6786c.res,4.55891,2
qmof-4c69dae.res,2.089,nan
qmof-4c6c409.res,3.91393,2
qmof-4c7b8e3.res,7.26963,3
qmof-4c7dfe2.res,0.99052,nan
qmof-4c83681.res,7.99594,3
qmof-4c838aa.res,1.15417,nan
qmof-4c88fab.res,14.07874,3
qmof-4cb438f.res,1.17229,nan
qmof-4cbb664.res,4.42264,3
qmof-4cc3895.res,2.63118,1
qmof-4cc46fe.res,4.67797,1
qmof-4cdc447.res,1.53572,nan
qmof-4cf057f.res,1.67516,nan
qmof-4cf211c.res,2.50782,1
qmof-4cff130.res,0.74009,nan
qmof-4d08885.res,4.48171,1
qmof-4d0c1e9.res,5.19562,3
qmof-4d13769.res,7.44851,3
qmof-4d1cebd.res,9.92811,3
qmof-4d203e9.res,0.98684,nan
qmof-4d33be9.res,2.81515,2
qmof-4d370e9.res,3.94742,3
qmof-4d40fa6.res,2.62119,1
qmof-4d45fdb.res,0.86188,nan
qmof-4d5a835.res,12.68027,3
qmof-4d5d4c3.res,11.38556,3
qmof-4d614ec.res,6.30021,3
qmof-4d635ee.res,14.20387,3
qmof-4d726d4.res,8.44979,3
qmof-4d736f8.res,10.06045,3
qmof-4d83d6f.res,0.96874,nan
qmof-4d89bb9.res,1.197,nan
qmof-4d978c3.res,6.06067,3
qmof-4d9a98c.res,3.97174,1
qmof-4da1271.res,0.81508,nan
qmof-4db285d.res,5.97004,3
qmof-4dbdf12.res,0.91787,nan
qmof-4dcea3e.res,3.87685,1
qmof-4ddd98f.res,8.58786,3
qmof-4df7a58.res,0.88722,nan
qmof-4dfba06.res,0.84309,nan
qmof-4e05e99.res,1.23067,nan
qmof-4e1928c.res,17.79329,1
qmof-4e1f5c1.res,0.65769,nan
qmof-4e205dc.res,8.07831,3
qmof-4e29e0b.res,4.99351,3
qmof-4e3b58f.res,8.94471,3
qmof-4e3ddf4.res,3.10503,1
qmof-4e41fb5.res,0.85199,nan
qmof-4e450ae.res,6.53964,1
qmof-4e4607a.res,0.85937,nan
qmof-4e4871b.res,1.40318,nan
qmof-4e4b76a.res,0.9888,nan
qmof-4e76516.res,0.73273,nan
qmof-4e884d7.res,8.10772,3
qmof-4e9c14b.res,1.25974,nan
qmof-4eaa3ff.res,9.28724,3
qmof-4eadc5e.res,0.80996,nan
qmof-4eaed90.res,13.34075,1
qmof-4ede352.res,8.24611,1
qmof-4ee4a4a.res,2.94802,3
qmof-4ee5c8e.res,1.16303,nan
qmof-4ef21f3.res,1.74192,nan
qmof-4f07795.res,0.95285,nan
qmof-4f07eba.res,2.27126,nan
qmof-4f0af97.res,6.18062,2
qmof-4f2c6e1.res,6.96897,3
qmof-4f3b572.res,7.08112,3
qmof-4f42788.res,4.58739,3
qmof-4f4c777.res,4.43017,3
qmof-4f5e770.res,1.04014,nan
qmof-4f6760e.res,1.14836,nan
qmof-4f92624.res,0.93975,nan
qmof-4f95744.res,2.77256,1
qmof-4f9ba78.res,2.42352,1
qmof-4f9fefd.res,6.56426,3
qmof-4fb11b1.res,5.07972,3
qmof-4fb74dd.res,7.07868,1
qmof-4fba533.res,1.14164,nan
qmof-4fbebc6.res,4.49943,1
qmof-4fc3049.res,1.67379,nan
qmof-4fce737.res,2.35269,nan
qmof-4fd00dc.res,0.88168,nan
qmof-4fd1b6f.res,1.1403,nan
qmof-4fe6fe2.res,2.94079,1
qmof-5011269.res,1.58599,nan
qmof-5014204.res,4.14005,3
qmof-50150b4.res,4.57798,1
qmof-5018ab0.res,6.00573,1
qmof-5019f95.res,1.15514,nan
qmof-50252e9.res,18.24161,3
qmof-5029b9d.res,8.77984,1
qmof-502b122.res,5.89033,3
qmof-50307ac.res,1.20839,nan
qmof-5030fff.res,8.3157,3
qmof-5038232.res,1.36317,nan
qmof-50395c8.res,2.91797,1
qmof-504370a.res,5.07902,3
qmof-5044200.res,3.4239,2
qmof-504b878.res,1.12853,nan
qmof-504b995.res,7.42225,1
qmof-504e891.res,6.69602,1
qmof-5083a07.res,0.94112,nan
qmof-508f964.res,1.17436,nan
qmof-508fdd0.res,13.40324,1
qmof-5091dcd.res,5.06247,1
qmof-509725a.res,10.39229,1
qmof-50a10db.res,2.57962,1
qmof-50a9877.res,7.52492,1
qmof-50bd2e1.res,1.05601,nan
qmof-50c5905.res,0.72462,nan
qmof-50f40ea.res,2.97364,1
qmof-50f5652.res,11.88123,3
qmof-50fed09.res,1.2417,nan
qmof-5108c60.res,5.95881,1
qmof-510b6b9.res,3.11918,1
qmof-510d507.res,3.68118,1
qmof-5111bf8.res,4.4128,1
qmof-511ea8e.res,2.53088,2
qmof-51350de.res,11.94397,3
qmof-513e1bb.res,5.53537,3
qmof-514f310.res,1.6446,nan
qmof-51609ef.res,9.2381,3
qmof-516c93f.res,0.58574,nan
qmof-516dce6.res,4.91096,3
qmof-517524d.res,6.39386,3
qmof-517abf2.res,0.81661,nan
qmof-5191c64.res,1.28101,nan
qmof-5195997.res,1.00864,nan
qmof-51977f3.res,5.86537,3
qmof-51a5518.res,12.47565,3
qmof-51a592d.res,11.67128,1
qmof-51b0afb.res,11.18374,3
qmof-51b139b.res,3.57323,1
qmof-51b86a2.res,11.66646,1
qmof-51bc7ba.res,12.27398,1
qmof-51bdd62.res,4.77658,3
qmof-51c3a9d.res,1.10987,nan
qmof-51e588e.res,20.22696,1
qmof-51e6c53.res,4.58522,3
qmof-51e910f.res,1.17242,nan
qmof-51eaa24.res,4.88899,2
qmof-5206c61.res,3.60748,1
qmof-520ebea.res,0.96981,nan
qmof-52169d5.res,6.50467,1
qmof-521b33c.res,6.50677,2
qmof-521e75d.res,7.84996,1
qmof-5223b33.res,12.32338,3
qmof-5226456.res,1.06809,nan
qmof-523a324.res,22.26122,1
qmof-5243a2c.res,0.96162,nan
qmof-525ab7b.res,4.72314,1
qmof-525bc94.res,0.98598,nan
qmof-525deda.res,1.21732,nan
qmof-5263eb0.res,1.64116,nan
qmof-52796c9.res,1.55889,nan
qmof-527c09b.res,0.92421,nan
qmof-5288dc1.res,1.08877,nan
qmof-528c187.res,1.11723,nan
qmof-528ec1c.res,2.38948,nan
qmof-52a36da.res,5.67267,1
qmof-52a4f76.res,2.44638,1
qmof-52a8795.res,1.46514,nan
qmof-52b722a.res,5.00687,3
qmof-52b9076.res,1.67643,nan
qmof-52d6820.res,2.5853,1
qmof-52d7274.res,13.96333,3
qmof-52dfac8.res,6.81621,3
qmof-52e1c67.res,4.14547,2
qmof-52e698d.res,2.84448,2
qmof-52ef7e9.res,21.59048,1
qmof-5313422.res,0.8825,nan
qmof-531a5b8.res,9.41031,1
qmof-531c126.res,5.51708,1
qmof-531f3cc.res,5.10744,1
qmof-5324e1b.res,8.85802,3
qmof-533212c.res,3.25187,1
qmof-53328c4.res,2.32002,nan
qmof-53400dc.res,4.49349,1
qmof-53413bd.res,5.69215,3
qmof-534822c.res,1.15907,nan
qmof-535286a.res,12.63521,3
qmof-53530b6.res,8.49371,3
qmof-5356c15.res,9.15606,1
qmof-535bd24.res,5.00903,3
qmof-535c7b9.res,3.89212,1
qmof-5364d1d.res,0.88501,nan
qmof-536a1f0.res,2.38013,nan
qmof-536d29b.res,3.8171,3
qmof-53701e5.res,12.74712,3
qmof-537f47f.res,6.40733,1
qmof-537f6ec.res,1.36774,nan
qmof-53839d7.res,1.14874,nan
qmof-5386b34.res,0.94521,nan
qmof-53b6a0f.res,6.79705,1
qmof-53b9017.res,2.50509,1
qmof-53c6dbb.res,7.44535,3
qmof-53c7ebf.res,3.91923,3
qmof-53dd35e.res,12.76512,1
qmof-53dfad5.res,6.20009,3
qmof-53e44f4.res,6.66535,1
qmof-53e7297.res,0.74812,nan
qmof-53f0808.res,1.97025,nan
qmof-53f64f4.res,1.2912,nan
qmof-53f9751.res,0.0704,nan
qmof-53fce67.res,0.90968,nan
qmof-53fe88d.res,7.57984,3
qmof-54054b2.res,3.56763,3
qmof-540bb65.res,0.84891,nan
qmof-540f79a.res,7.45276,3
qmof-5412a58.res,1.32317,nan
qmof-541c7e3.res,1.45729,nan
qmof-541d78e.res,3.98377,3
qmof-54296f8.res,1.02048,nan
qmof-542a344.res,0.82788,nan
qmof-542bb58.res,0.97022,nan
qmof-5436a87.res,1.42034,nan
qmof-54372a9.res,6.89079,3
qmof-543c70c.res,3.53882,1
qmof-5447b7f.res,6.64305,2
qmof-545f7ee.res,10.26698,3
qmof-546dd2b.res,1.59247,nan
qmof-5480f62.res,0.89155,nan
qmof-5486f8c.res,3.02952,1
qmof-548fc17.res,0.94236,nan
qmof-549999a.res,3.49321,3
qmof-54a03a4.res,1.05058,nan
qmof-54ac1c4.res,0.70646,nan
qmof-54b048b.res,0.76526,nan
qmof-54bab96.res,3.5776,1
qmof-54bfc04.res,8.35749,3
qmof-54c7a8f.res,2.28343,nan
qmof-54cce9f.res,3.85627,1
qmof-54d276d.res,6.02431,3
qmof-54d6b26.res,11.58663,3
qmof-54da05e.res,7.28382,1
qmof-54e279c.res,1.01686,nan
qmof-54e3d77.res,1.0071,nan
qmof-54e4b67.res,9.69194,3
qmof-54ec179.res,0.90069,nan
qmof-54ee0dd.res,3.24323,3
qmof-550a9e1.res,2.12374,nan
qmof-5512d33.res,6.86894,3
qmof-5512eaf.res,12.9536,3
qmof-551cacc.res,1.16256,nan
qmof-5523c6a.res,7.88964,3
qmof-5524998.res,6.17465,2
qmof-552976d.res,7.47121,3
qmof-553d89c.res,6.47209,1
qmof-5546ee9.res,0.95974,nan
qmof-554f103.res,0.9472,nan
qmof-555ae53.res,3.07795,1
qmof-555bacb.res,5.82428,3
qmof-555ceef.res,9.22565,3
qmof-5564e79.res,1.33145,nan
qmof-556d95b.res,1.36891,nan
qmof-5572326.res,21.96425,1
qmof-55781e8.res,4.5191,2
qmof-557afbb.res,8.19762,3
qmof-557e054.res,1.0222,nan
qmof-55822fa.res,8.24205,3
qmof-5587957.res,1.66125,nan
qmof-558fe26.res,1.07486,nan
qmof-5592882.res,0.88943,nan
qmof-559f6f4.res,5.42355,3
qmof-55a2418.res,9.50742,3
qmof-55b32f8.res,6.22837,1
qmof-55c83e8.res,3.20125,3
